state,county,population,zips
WA,Asotin,21039,99403 99402 99403 99403
WA,Walla Walla,76364,99323 99362 99348 99361 99363 99360 99329 99361 99362 99362 99324 99362
WA,Jefferson,17430,98365 98320 98376 98358 98325 98368 98339 98368
WA,Benton,320624,99352 99354 99320 99353 99320 99337 99337 99336 99338 99350
WA,San Juan,2407,98250
WA,Pacific,11453,98577 98631 98577 98554 98586 98577 98590 98624 98614 98624 98638 98577 98527 98640 98637
WA,Adams,14873,99344 99344 99341 99371 99169
WA,Columbia,2768,99328 99359
WA,Garfield,1388,99347
DE,Sussex,118293,19944 19940 19970 19945 19967 19973 19939 19963 19933 19931 19975 19971 19930 19947 19950 19963 19973 19971 19968 19971 19945 19966 19941 19958 19956 19966 19970 19930
DE,New Castle,274010,19810 19808 19707 19711 19807 19804 19805 19809 19720 19720 19721 19804 19809 19802 19734 19711 19709 19701 19702 19809 19802 19801 19806 19805 19850 19880 19884 19885 19886 19890 19893 19894 19895 19896 19898 19899 19808 19711 19701 19702 19709 19730 19720 19701 19709 19733 19810 19703 19810 19713 19718 19703 19713 19711 19717 19716 19725 19726 19706 19707 19736
DE,Kent,165505,19950 19943 19953 19901 19934 19962 19901 19901 19962 19952 19901 19977 19946 19954 19943 19962 19979 19938 19955 19946 19943 19904 19980 19904 19977 19938 19936 19901 19904 19901 19934 19934 19904 19977 19901 19946 19943 19902 19901 19904 19905 19906
DC,District of Columbia,5289420,20010 20011 20012 20015 20228 20520 20307 20418 20319 20024 20510 20593 20020 20427 20540 20240 20245 20204 20202 20390 20006 20005 20004 20003 20002 20009 20008 20535 20317 20405 20057 20052 20053 20017 20018 20565 20566 20560 20260 20064 20551 20553 20019 20230 20373 20007 20032 20036 20037 20506 20001 20045 20016 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20055 20056 20059 20060 20061 20062 20063 20065 20066 20067 20068 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20203 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20220 20221 20222 20223 20224 20226 20227 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20250 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20388 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20407 20408 20410 20411 20412 20413 20414 20415 20416 20417 20419 20420 20421 20422 20423 20424 20425 20426 20428 20429 20431 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20507 20508 20509 20511 20515 20521 20522 20523 20524 20525 20526 20527 20528 20529 20530 20531 20533 20534 20536 20537 20538 20539 20541 20542 20543 20544 20546 20547 20548 20549 20552 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20588 20590 20591 20594 20597 20598 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999
WI,Washburn,5284,54876 54859 54801 54871 54875 54888 54817
WI,Buffalo,6158,54756 54629 54622 54755 54743 54755 54622 54622 54610 54622
WI,Grant,33452,53809 53554 53817 53804 53813 53806 53805 53804 53816 53827 53805 53518 53807 53810 53811 53801 53820 53807 53808 53807 53812 53811 53573 53818 53569 53820
WI,Waukesha,328999,53058 53029 53153 53058 53183 53146 53151 53066 53051 53052 53089 53150 53122 53069 53066 53119 53066 53036 53189 53103 53046 53118 53018 53058 53029 53186 53188 53189 53187 53005 53045 53008 53066 53007 53089 53029 53056 53072 53702 53186 53188 53029 53066 53149 53120
WI,Jefferson,76392,53137 53038 53094 53523 53178 53137 53178 53538 53549 53523 53551 53538 53036 53098 53094 53594 53156 53563 53538
WI,Racine,249559,53185 53402 53402 53405 53404 53406 53402 53126 53108 53105 53105 53177 53405 53139 53405 53404 53406 53403 53402 53401 53407 53408 53405 53406 53403 53177 53167 53105 53138 53182 53105 53185 53185
WI,Dodge,40170,53050 53034 53048 53006 53922 53066 53036 53003 53016 53039 53035 53039 53091 53933 53579 53557 53916 53032 53047 53098 53050 53059
WI,Juneau,11439,53968 53950 54618 53929 54637 54618 53948 53944 54646 53968 53962
WI,Fond du Lac,88937,53049 54937 54979 53919 53010 54971 54937 54935 53079 54937 54937 54935 54936 53065 54974 53019 53057 53963 53931 53919
WI,Jackson,8166,54615 54754 54635 54659 54754 54643 54615 54611 54642
WI,Outagamie,269870,54170 54140 54130 54913 54911 54165 54130 54914 54915 54913 54911 54912 54919 54922 54136 54915 54944 54944 54931 54106 54152 54113 54106
WI,Oneida,10344,54562 54539 54568 54501 54548
WI,Sheboygan,103374,53093 53081 53044 53093 53031 53073 53083 53011 53073 53023 53001 53023 53075 53020 53070 53083 53081 53085 53013 53070 53085
WI,Shawano,17865,54450 54414 54111 54124 54950 54166 54416 54128 54499 54137 54416 54154 54127 54486 54928 54128 54162 54107 54427 54408 54414 54111 54166 54948 54107
WI,Portage,62403,54909 54406 54921 54443 54467 54492 54473 54481 54482 54481 54407 54458 54407 54481 54473 54423
WI,Chippewa,34756,54757 54724 54729 54703 54727 54732 54729 54774 54768 54726 54745 54748 54729
WI,Columbia,39595,53555 53960 53928 53925 53925 53955 53923 53932 53965 53954 53956 53957 53911 53935 53960 53901 53954 53960 53969 53955 53555
WI,Trempealeau,15081,54773 54747 54738 54747 54612 54630 54612 54627 54758 54770 54773 54659 54616 54661 54773 54760 54758 54625
WI,Sauk,47944,53913 53583 53959 53958 53913 53965 53940 53588 53951 53561 53578 53961 53941 53942 53951 53941 53941 53943 53577 53913
WI,Forest,3512,54566 54520 54541 54511 54511 54520
WI,Walworth,86023,53190 53115 53120 53121 53147 53147 53121 53176 53147 53114 53115 53120 53128 53105 53191 53121 53125 53585 53184 53147 53128 53157 53190 53115
WI,Manitowoc,70956,54230 54247 54220 54227 54228 54245 54241 53042 54230 54247 54207 54247 54220 54214 54232 53015
WI,Dane,645538,53716 53713 53590 53596 53704 53515 53531 53598 53532 53523 53559 53560 53575 53719 53711 53713 53744 53575 53705 53792 53791 53528 53527 53593 53706 53704 53705 53703 53726 53792 53719 53718 53715 53714 53717 53716 53711 53713 53701 53707 53708 53725 53774 53777 53782 53783 53784 53785 53786 53788 53789 53790 53793 53794 53558 53517 53572 53508 53529 53562 53597 53589 53597 53598 53590 53571 53532
WI,Pierce,26733,54022 54750 54761 54723 54014 54767 54021 54014 54740 54010 54011
WI,Milwaukee,1734630,53129 53154 53213 53225 53226 53222 53211 53217 53217 53132 53217 53172 53219 53214 53227 53209 53223 53219 53214 53215 53234 53203 53202 53207 53206 53205 53204 53209 53208 53233 53211 53218 53219 53214 53215 53216 53210 53212 53213 53295 53225 53224 53227 53226 53221 53220 53223 53222 53228 53201 53237 53259 53263 53274 53278 53288 53290 53293 53235 53130 53211 53221 53220 53228 53110 53209 53217 53212 53217
WI,Sawyer,5909,54828 54835 54843 54828 54896 54867 54843 54876 54828 54843 54843 54828
WI,Green Lake,8983,54923 54968 53946 53947 53926 54941 53946 53939 53946 53926
WI,Burnett,2840,54840 54830 54893 54872
WI,Oconto,10657,54138 54153 54171 54141 54149 54174 54101 54139 54154 54175 54124
WI,Marathon,125372,54401 54403 54440 54474 54476 54426 54479 54455 54411 54448 54401 54452 54427 54499 54429 54455 54401 54476 54426 54484 54476 54455
WI,Vernon,11720,54634 54623 54639 54658 54621 54632 54652 54665 54651 54667
WI,Iowa,13179,53580 53507 53533 53595 53526 53503 53553 53506 53533 53544 53565 53543 53582
WI,Crawford,9794,54628 54626 54631 53826 54631 54655 54626 54657 54631 54645 54624 53821
WI,Clark,15678,54456 54420 54437 54446 54422 54405 54421 54771 54498 54421 54425 54460 54498 54436 54488 54746
WI,Monroe,23240,54670 54619 54666 54660 54660 54649 54666 54648 54656 54660 54656 54660 54638 54619
WI,Dunn,25214,54751 54739 54734 54763 54751 54730 54725 54749 54751 54735 54772 54730
WI,Ashland,9542,54806 54861 54806 54517 54855 54559 54527 54806 54546 54806 54514 54806
WI,Wood,58378,54454 54441 54457 54489 54495 54494 54466 54469 54495 54494 54412 54475 54494 54410 54495 54413 54475 54494 54449 54404 54472
WI,Bayfield,4158,54856 54865 54832 54891 54847 54844 54821 54839 54827 54814
WI,Iron,3257,54550 54536 54525 54534 54550 54559 54534 54547
WI,Ozaukee,71887,53080 53074 53024 53080 53021 53004 53021 53097 53092 53012 53024 53004 53092
WI,Waushara,8014,54984 54982 54967 54940 54943 54970 54930 54966 54965 54970
WI,Kenosha,169084,53168 53144 53140 53171 53144 53140 53142 53143 53141 53142 53158 53128 53159 53142 53104 53181
WI,Calumet,25175,53061 53062 53014 54110 54160 54952 54169 54130 54915 54129 54110 54123 54129 54952 54169 54110 54129 53088 54129 53014
WI,Marinette,26867,54157 54114 54112 54177 54125 54119 54151 54156 54161 54143 54102
WI,Florence,616,54542 54121
